"","source","target","value"
"296","Pui-Ching Academy","Philadelphia College of Pharmacy",1
"297","Punahou School","Columbia University",1
"298","Punahou School","Morgan Park Academy",1
"299","Punahou School","University of Chicago",1
"300","Punahou School","Yale University",1
"301","Queen's College","Boston University",1
"302","Queen's College","Columbia University",2
"303","Queen's College","Cornell University",3
"304","Queen's College","Healdsburg College",1
"305","Queen's College","Massachusetts Agricultural College",1
"306","Queen's College","Massachusetts Institute of Technology",1
"307","Queen's College","Michigan Mining College",1
"308","Queen's College","University of California",1
"309","Queen's College","Valparaiso University",1
"310","Queen's College","Yale University",1
"311","Rulison High School","Central Wesleyan College",1
"312","Rulison High School","Folt Mission Institute",1
"313","Rulison High School","Minneapolis Kindergarten Training School",1
"314","Rulison High School","Rulison High School",1
"315","Samshui School","Massachusetts Institute of Technology",1
"316","Samshui School","University of Pennsylvania",1
"317","Samshui School","Worcester Polytechnic Institute",1
"318","Scotch College","Philadelphia College of Pharmacy",1
"319","Shanghai Educational Mission School","Harvard Medical School",1
"320","Shanghai Educational Mission School","Yale University",1
"321","Shanghai High School","Columbia University",1
"322","Shanghai High School","Park College",1
"323","Shanghai High School","University of Missouri",1
"324","Shanghai Public School","Massachusetts Institute of Technology",1
"325","Shanghai Public School","Trinity College",1
"326","Shanghai Technical College","Massachusetts Institute of Technology",1
"327","Shanghai Y.M.C.A. School","Highland Military Academy",1
"328","Shanghai Y.M.C.A. School","Morton High School",1
"329","Shankiang College","Harvard University",1
"330","Shankiang College","Western Reserve University",1
"331","Shantung Provincial College","Colorado School of Mines",1
"332","Shantung Provincial College","Massachusetts Institute of Technology",1
"333","Shantung Provincial College","New Bedford Textile College",1
"334","Shantung Provincial College","Ohio University",1
"335","Shantung Provincial College","Purdue University",2
"336","Shantung Provincial College","University of Illinois",2
"337","Shantung Provincial College","University of Pennsylvania",1
"338","Shantung Provincial College","University of Vermont",1
"339","Shantung Provincial College","University of Wisconsin",1
"340","Shantung Provincial College","Valparaiso University",1
"341","Shantung University","University of Illinois",1
"342","Shantung University","University of Pennsylvania",1
"343","Shantung University","University of Vermont",1
"344","Shih Min School","University of California",1
"345","Shih Min School","University of Wisconsin",1
"346","Shun Cheng School","Central High School",1
"347","Shun Cheng School","Cook Academy",1
"348","Shun Cheng School","George Washington University",1
"349","Shun Cheng School","George Washington University Hospital",1
"350","Shun Cheng School","Mercersberg Academy",1
"351","Shun Cheng School","University of Pennsylvania",1
"352","Shun-Tien College","Harvard University",1
"353","Shun-Tien College","Massachusetts Institute of Technology",1
"354","Soochow English Language School","Columbia University",1
"355","Soochow English Language School","Lehigh University",1
"356","Soochow English Language School","Union College",1
"357","Soochow English Language School","University of Wisconsin",2
"358","Soochow Literary College","Cornell University",1
"359","Soochow Mission Girls' School","Columbia University",1
"360","Soochow Mission Girls' School","Cottey College",1
"361","Soochow Mission Girls' School","Wellesley College",1
"362","Soochow Provincial College","University of Wisconsin",1
"363","Soochow Railway College","Columbia University",1
"364","Soochow Railway College","Lehigh University",1
"365","Soochow Railway College","University of Wisconsin",1
"366","Soochow University","Columbia University",4
"367","Soochow University","Cornell University",2
"368","Soochow University","Harvard University",1
"369","Soochow University","Massachusetts Institute of Technology",1
"370","Soochow University","Purdue University",2
"371","Soochow University","University of Pennsylvania",1
"372","Soochow University","University of Wisconsin",3
"373","Soochow University","Williston Seminary",1
"374","St. John's University","Albany Business College",1
"375","St. John's University","Central High School",3
"376","St. John's University","Columbia University",6
"377","St. John's University","Cook Academy",4
"378","St. John's University","Cornell University",9
"379","St. John's University","Dartmouth College",1
"380","St. John's University","Elmira Academy",1
"381","St. John's University","George Washington University",1
"382","St. John's University","George Washington University Hospital",1
"383","St. John's University","Harvard University",2
"384","St. John's University","Johns Hopkins University",1
"385","St. John's University","Lehigh University",3
"386","St. John's University","Massachusetts Agricultural College",1
"387","St. John's University","Massachusetts Institute of Technology",2
"388","St. John's University","Mercersberg Academy",1
"389","St. John's University","New York Medical College",1
"390","St. John's University","New York University",1
"391","St. John's University","Ohio State University",1
"392","St. John's University","Philadelphia Dental College",1
"393","St. John's University","Phillips Academy",1
"394","St. John's University","Princeton University",2
"395","St. John's University","Purdue University",3
"396","St. John's University","Stanford University",1
"397","St. John's University","Swarthmore Preparatory School",1
"398","St. John's University","Syracuse University",1
"399","St. John's University","Union College",1
"400","St. John's University","University of California",1
"401","St. John's University","University of Chicago",1
"402","St. John's University","University of Illinois",1
"403","St. John's University","University of Michigan",4
"404","St. John's University","University of Pennsylvania",4
"405","St. John's University","University of Virginia",3
"406","St. John's University","University of Wisconsin",4
"407","St. John's University","Washington High School",1
"408","St. John's University","Western Reserve University",1
"409","St. John's University","Yale University",7
"410","St. Joseph's College","University of Wisconsin",1
"411","St. Xaviers' School","Lehigh University",1
"412","St. Xaviers' School","University of Virginia",1
"413","St. Xaviers' School","Virginia Episcopal High School",1
"414","Sungkiang Middle School","Columbia University",1
"415","Sungkiang Middle School","Cornell University",1
"416","Sungkiang Middle School","Harvard University",1
"417","Sunning District School","New York University",1
"418","Sunning District School","Youkers High School",1
"419","Szechuen Provincial College","Harvard University",1
"420","Szechuen Provincial College","University of Illinois",1
"421","Szechuen Provincial College","University of Wisconsin",1
"422","Tai-Kuo Middle School","Oberlin Academy",1
"423","Tai-Kuo Middle School","Oberlin College",1
"424","Tai-Kuo Middle School","Yale University",1
"425","Tangshan Railway and Engineering College","Colorado School of Mines",2
"426","Tangshan Railway and Engineering College","Columbia University",1
"427","Tangshan Railway and Engineering College","Lehigh University",1
"428","Tangshan Railway and Engineering College","Massachusetts Institute of Technology",1
"429","Tangshan Railway and Engineering College","Princeton University",1
"430","Tangshan Railway and Engineering College","Purdue University",1
"431","Tangshan Railway and Engineering College","University of Illinois",3
"432","Tangshan Railway and Engineering College","University of Pennsylvania",1
"433","Tangshan Railway and Engineering College","University of Wisconsin",1
"434","Teh-Hua School","Berea College",1
"435","Teh-Hua School","Syracuse University",1
"436","Teh-Hua School","University of Michigan",1
"437","Thomas Hanbury School","Massachusetts Institute of Technology",1
"438","Thomas Hanbury School","Princeton University",1
"439","Thomas Hanbury School","Springfield Technical High School",1
"440","Thomas Hanbury School","Yale University",1
"441","Tientsin First High School","University of Illinois",1
"442","Tientsin First High School","University of Pennsylvania",1
"443","Tientsin High School","University of Pennsylvania",1
"444","Tientsin Industrial College","Columbia University",1
"445","Tientsin Industrial College","Cushing Academy",1
"446","Tientsin Industrial College","University of Wisconsin",1
"447","Tientsin Industrial College","Worcester Polytechnic Institute",1
"448","Tientsin Middle School","Harvard University",1
"449","Tientsin Military School","Columbia University",1
"450","Tientsin Military School","University of California",1
"451","Tientsin Putung Middle School","Harvard University",2
"452","Tokio Commercial School","Oberlin College",1
"453","Tokio Commercial School","University of Illinois",1
"454","Tokio Commercial School","University of Michigan",1
"455","Tsinan Provincial Middle School","Ohio University",1
"456","Tsinan Provincial Middle School","University of Wisconsin",1
"457","Tsing Hua College","Colorado School of Mines",1
"458","Tsing Hua College","Columbia University",1
"459","Tsing Hua College","Cornell University",2
"460","Tsing Hua College","Lehigh University",1
"461","Tsing Hua College","Massachusetts Institute of Technology",2
"462","Tsing Hua College","Purdue University",1
"463","Tsing Hua College","University of Michigan",1
"464","Tsing Hua College","University of Minnesota",1
"465","Tung Wen College","Lehigh University",1
"466","Tung Wen College","University of Virginia",2
"467","Tung Wen College","Virginia Episcopal High School",2
"468","Tung Wen School","Barnes University",1
"469","Tung Wen School","South Western University",1
"470","Tung Wen School","Vanderbilt University",1
"471","Tzu-Kiang Grammar School","Cushing Academy",1
"472","Tzu-Kiang Grammar School","Massachusetts Institute of Technology",1
"473","University of Nanking","Baker University",1
"474","University of Nanking","Columbia University",1
"475","University of Nanking","Cornell University",1
"476","University of Nanking","Northwestern University",1
"477","University of Nanking","Stanford University",1
"478","University of Nanking","University of Chicago",1
"479","University of Nanking","University of Michigan",1
"480","University of Nanking","University of Wisconsin",1
"481","Victoria University","University of Pennsylvania",1
"482","Waseda University","University of Pennsylvania",1
"483","Wen-Hua School","Berea College",1
"484","Wen-Hua School","Syracuse University",1
"485","Wen-Hua School","University of Michigan",1
"486","Wen-Hui College","Charles City College",1
"487","William Nast College","Central Wesleyan College",2
"488","William Nast College","Charles City College",1
"489","William Nast College","Harvard University",1
"490","William Nast College","State University of Iowa",1
"491","William Nast College","Syracuse University",2
"492","Woosung National Institute","University of Chicago",1
"493","Woosung National Institute","University of Wisconsin",1
"494","Wu-Bun Girls' School","Columbia University",1
"495","Wu-Bun Girls' School","Middlebury College",1
"496","Wu-Cheng High School","University of Michigan",1
"497","Wuchang Pu-tung College","Cushing Academy",1
"498","Wuchang Pu-tung College","Massachusetts Institute of Technology",1
"499","Yu Tsai School","Columbia University",2
"500","Yu Tsai School","Cook Academy",1
"501","Yu Tsai School","Cornell University",2
"502","Yu Tsai School","Johns Hopkins University",1
"503","Yu Tsai School","Massachusetts Institute of Technology",1
"504","Yu Tsai School","University of California",1
"505","Yu Tsai School","University of Illinois",1
"506","Yu Tsai School","University of Pennsylvania",1
"507","Yu Tsai School","University of Wisconsin",1
